D_CLASSE_EFF_ENERG,False,True,True
D_CONSORZIO,False,True,True
CONSUMO,False,True,True
DITTA_ESTERNA,False,True,True
D_ENTE_INTERFERENTE,False,True,True
CAUSALE_ANNULLAMENTO,False,True,True
D_ASL_COMPET,False,True,True
ESTREMI_CONCES,False,True,True
ESTREMI_GU,False,True,True
D_MOTIVO_DISM,False,True,True
FOGLIO_CATAST,False,True,True
D_OSSID_RIDUZ,False,True,True
FONTI,False,True,True
D_TARIFFA_GEO,False,True,True
FORNITORE,False,True,True
FRONTECIVICO,False,True,True
ENTE,False,True,True
GRUND,False,True,True
PARTICELLA_CATAST,False,True,True
RICHIEDENTE,False,True,True
MARCA,False,True,True
SN_BIL_PERD,False,True,True
POT_PROG,False,True,True
SEDE_TECN_DEP,False,True,True
SN_CONCESS_RIC,False,True,True
SIGLA_PROV,False,True,True
PRODUZIONE,False,True,True
OBJNR_QMEL,False,True,True
PRODUZ_FANGHI,False,True,True
ORGANIZATION,False,True,True
STRNO,False,True,True
STRNO,False,True,True
STRNO_GIS,False,True,True
SN_PREVAL,False,True,True
SN_PRODUTTIVO,False,True,True
SN_PRODUZ_GAS,False,True,True
SN_USO_ALTRO,False,True,True
STSMA,False,True,True
ST_SAP_INT,False,True,True
TARIFFA,False,True,True
D_CAUSALE,False,True,True
D_TRASF_INTERAMBITO,False,True,True
